-3.298750, -7.341250, 28.463751; -0.710668, -1.478764, 9.317652; -0.000005, -0.000058, -0.000135;
-11.978750, 7.000000, 24.447500; -0.617348, -1.371087, 9.583255; -0.000005, -0.000058, -0.000135;
-6.133750, 11.637500, 29.995001; -0.796810, -1.485943, 8.779265; -0.000005, -0.000058, -0.000135;
2.940000, 2.082500, 19.110001; -0.725025, -1.227518, 9.554541; -0.000008, -0.000057, -0.000134;
-2.310000, 12.468750, 25.025000; -0.725025, -1.356730, 9.647861; -0.000008, -0.000057, -0.000134;
-2.082500, -1.995000, 26.661249; -0.638884, -1.421337, 9.382257; -0.000008, -0.000057, -0.000134;
-8.890000, 6.256250, 21.796249; -0.610170, -1.493121, 9.418150; -0.000010, -0.000057, -0.000133;
-1.933750, -5.775000, 23.213751; -0.488136, -1.313660, 9.497113; -0.000010, -0.000057, -0.000133;
-10.832500, 10.841250, 13.037500; -0.430708, -1.378266, 9.454042; -0.000010, -0.000057, -0.000133;
-5.670000, -5.958750, 12.433750; -0.588634, -1.378266, 9.446863; -0.000012, -0.000058, -0.000131;
-8.995000, 4.541250, 6.011250; -0.559920, -1.191626, 9.432507; -0.000012, -0.000058, -0.000131;
-8.417500, 3.473750, 12.232500; -0.423530, -1.033699, 9.432507; -0.000012, -0.000058, -0.000131;
-9.537500, 10.508750, 1.925000; -0.172283, -0.969093, 9.468399; -0.000012, -0.000058, -0.000131;
-6.195000, 11.287500, 2.257500; -0.222532, -1.119841, 9.590433; -0.000013, -0.000058, -0.000132;
-3.543750, 4.917500, 2.625000; -0.323031, -1.076770, 9.482756; -0.000013, -0.000058, -0.000132;
-3.692500, 5.705000, 0.857500; -0.380459, -1.062413, 9.568897; -0.000013, -0.000058, -0.000132;
-1.645000, 4.777500, -0.980000; -0.344566, -1.170090, 9.202796; -0.000013, -0.000058, -0.000130;
-3.360000, 5.127500, -1.706250; -0.409173, -0.990629, 9.497113; -0.000013, -0.000058, -0.000130;
-3.806250, 3.395000, -3.841250; -0.351745, -1.083949, 9.353543; -0.000013, -0.000058, -0.000130;
-6.265000, -0.201250, -7.096250; -0.308674, -1.119841, 9.403793; -0.000012, -0.000058, -0.000132;
-9.397500, 5.985000, -15.960000; -0.323031, -1.033699, 9.332007; -0.000012, -0.000058, -0.000132;
-8.443750, 1.198750, -18.873751; -0.574277, -0.947558, 9.389436; -0.000012, -0.000058, -0.000132;
-10.272500, 10.981250, -23.826250; -0.502493, -0.954736, 9.389436; -0.000012, -0.000059, -0.000131;
-1.960000, 2.581250, -27.221251; -0.452243, -0.581456, 9.511470; -0.000012, -0.000059, -0.000131;
-0.918750, 9.257500, -31.972500; -0.588634, -0.803988, 9.454042; -0.000012, -0.000059, -0.000131;
-3.211250, 13.168750, -52.657501; -0.552742, -1.055235, 9.288938; -0.000008, -0.000059, -0.000132;
-5.346250, 21.901251, -41.230000; -0.294317, -0.574277, 9.475577; -0.000008, -0.000059, -0.000132;
